Kategori,Detail,Vendor,PIC,Kontak,Email,Alamat,Respon Vendor,Termin Pembayaran
Kelistrikan,Lampu ,Putra Jaya Abadi,Pak Henky,0813-3608-6035,,Sby,Cepat,cash
Kelistrikan,"lampu, kabel,dll",Mitra Sejati Elektrik ,Admin,0812-2687-8388,,Semarang,Cepat,cash
Kelistrikan,lampu,Sumber Rejeki Listrik,Admin,0856-4030-4795,,Semarang,Cukup Cepat,cash
Kelistrikan,"lampu,tools, ",Istana listrik Gajah,Admin,0822-2300-0550,,Semarang,Cukup Cepat,cash
Lifting Equipment,"Handpallet, Automotive, Automation, Welding, dsb.",Kawan Lama,admin 1,0812-3180-9122,,Surabaya,Cepat,cash
Lifting Equipment,"Handpallet, Automotive, Automation, Welding, dsb.",Mahfrill Raden Saleh,admin,0853-1414-6214,,Surabaya,Cepat,cash
Sembako,Sembako,Puji Syukur,admin,0857-9928-1889,,Mjk,Cepat,cash
Bearing,"Bearing, Rantai, vbelt",Asian Bearindo,Bu ida,0815-5378-8100,,Surabaya,Cepat,cash
Safety,Rompi Safety,Safety Center,admin,0812-1689-9682,,jakarta,Cepat,cash
,Silica gel,,Bu diandra,0878-1491-3141,,Surabaya,Cepat,cash
Furniture,Kasur,SP Mattress ,Bu Sophie ,0817-5070-570,,Surabaya,Cukup Cepat,cash
Furniture,Kasur,Sleep & Co galaxy mall,bu diana,0813-3408-3246,,Surabaya,Cepat,cash
Cat,"Cat Jotun, dulux, mowilex",Artha Kencana,Bu dessy,0838-5742-2226,,Surabaya,Cepat,cash
Furniture,"loker, kasur, meja, kursi",Timur Furniture,admin,0822-5794-2430,,Surabaya,Cepat,cash
APD,helm enzo,PT. Global Spex Mandiri,Endang,0816-511-803,,Surabaya,Lama,cash
APD,helm enzo,,Budi,0821-3637-7165,,Surabaya,Cepat,cash
Advertising,"kartu nama, bendera, banner",ADC printshop,admin,0819-1666-1007,,Surabaya,Cepat,cash
,"tabung gas oksigen, acetylene, argon dll",Malson Gas,admin,0878-5885-8666,,Surabaya,Cepat,cash
,"tabung gas oksigen, acetylene, argon dll",Malson Gas,Bu Selvi,0812-3171-5678,,Surabaya,Cepat,cash
,"tabung gas oksigen, acetylene, argon dll",Malson Gas,Bu Mayang,0812-3171-1234,,Surabaya,Cepat,cash
,"tabung gas oksigen, acetylene, argon dll",Malson Gas,Bu Sindi,0812-3526-7890,,Surabaya,Cepat,cash
Elektronik,"Laptop, komputer dll",Gamer ID,admin,0878-5577-3878,,Surabaya,Cepat,cash
Elektronik,"kulkas, TV, mesin cuci, showcase dll",UFO,Shevan,0823-3229-7610,,Mjk,Cepat,cash
Bearing,Bearing SKF,PT. Pancaputra Satriawibawa,teguh ,0857-3277-1199,,Surabaya,Cepat,cash
Lifting Equipment,"Handpallet, Automotive, Automation, Welding, dsb.",Kawan Lama,ivan,0851-6036-3456,,Surabaya,Cepat,cash
Elektronik,sparepart,aif robotic,admin,0812-4666-0506,,Surabaya,Cukup Cepat,cash
Distributor Resmi,Dist. Lototo,LOTOTO,P. GUNA,087874125569,,Jkt Selatan,,
Distributor Resmi,Dist. Ansell,ANSEL,P. ANDI,08124833357,,Jkt,,
Distributor Resmi,"3M, MEIJI, NITCHI, DSB.",PT. HENGTRACO,Pak Joseph,087759837155,,Jkt,,
Measurement,Alat Ukur : Timbangan dll.,PT. MITRA HITECH INDOTAMA,FIA,081119921744,,BOGOR,,
Electrical,Dist. Hitachi,HITACHI,P. TRI WIBOWO,08111690144/0212528470,,,,
Distributor Resmi,Dist. Hitachi,HITACHI,P. TRI WIBOWO,08111690144/0212528470,,,,
Distributor Resmi,Dist. Daiden,PT Niagamas Lestari,P. Andre,082112923918,,,,
Distributor Resmi,Dist. Mitsuboshi,PT Mitsuboshi Belting Sales Indonesia,P. Saepudin,0215363033/0813100686691,,,,
Distributor Resmi,Dist. Aldo,PT. Celindo Multi Karya,Admin,08113537788,,,,
Distributor Resmi,Dist. Cheetah,Cheetah,P. Purba,081119207039,,,,
Distributor Resmi,Dist. Safety Jogger,PT. Bintang Anugerah Sejati,P. Kenzo,081113508114/02162308414,,,,
Distributor Resmi,Dist. Misumi,PT Misumi Indonesia,P. Galuh,08118251567,,,,
Distributor Resmi,Dis.t Nachi,PT. Nachi Indonesia,,0215272841,,,,
KONVEKSI,Konveksi,Engineer Factory,Rizky,0812-1112-2515,,Bandung,,
Distributor Resmi,Dist. Misumi dan Kitz,PT. Misumi Indonesia,P. Joni,0811-8455-168,,jakarta,,
Lisensi Software,IT dan Software,PT. Piranusa Nusantara Teknolologi,B. Hilda,0878-2755-9955,,jakarta,,
,Mesin Boiler,PT. Taland Utama Karisma Perkasa,P. Ridho,0811-1000-0591,,tangerang,,
,Pengolahan Limbah,Daiki Axis Indonesia,P. Achmad Erkhan,0857-4844-4079,,Surabaya,,
Machinery,Sparepart Mesin,PT. Fujilloy Indonesia,P. danang,0821-1285-9110,,Karawang,,
Oli Industri,"Grease, Oil & Energy Lubricants",PT. Nippon Oil Indonesia,B. Fujita,0811-8113-7652,,jakarta,,
Oli Industri,"Grease, Oil & Energy Lubricants",PT. Nippon Oil Indonesia,P. Imran,0812-9443-447,,jakarta,,
Oli Industri,"Grease, Oil & Energy Lubricants",PT. Nippon Oil Indonesia,P. Heri,0811-9936-681,,jakarta,,
Machinery,Mesin Industri,PT. Ever Chemical Indonesia,P. yusuf,0815-1078-7858,,Jakarta,,
Lifting Equipment,"Handpallet, Automotive, Automation, Welding, dsb.",PT. Traktor Nusantara,P. Anang,0822-3358-8745,,Surabaya,,
Measurement,Timbangan,Gyumo / Its scale,Admin,0811-1910-3783,,Tangerang,,
Lifting Equipment,"Handpallet, Automotive, Automation, Welding, dsb.",PT. Internasional Teknik Solusindo,P. Wahyu,0811-8114-0957,,Tangerang,,
,Filter air,Zhuhai Sanfam Filter,B. Kiki,0812-1229-0125,,Gresik,,
,"Valve, Globe, Sambungan pipa, ",PT. Unggul Prakasa Prisma,P. Robert,;0811-3340-101,,Surabaya,,
,"Pompa merk Revco, HRF, BCG ",UD. Untung Jaya,P. Diego ,0852-0002-0000,,Surabaya,,
,"Pompa merk Wiking pump, Flowserve, Blagdon, Sandpiper, Wilden, Tsurumi pump, Cognito, Pulsafeeder",PT. Aldimar Airmas,P. Imam,0811-2924-10 / 031-5041227,,Surabaya,,
Lifting Equipment,"Handpallet, Automotive, Automation, Welding, dsb.",PT. Becca Mandiri Perkasa,P. Amin,0821-4046-69931 / 0856-5548-8852,,Sidoarjo,,
,Dist. Brother,PT. Brother International ,P. octrio,0856-4938-8111,,Surabaya,,
,"Pneumatic merk Nachi, Danfoss Marzocchi pompe, Osaka jeck, Kosmek, Yuken, Sunfab, Coolbit",PT. Pandu Hydro Pneumatic,P. Zenny,0813-5407-0318,,Surabaya,,
,"onitoring Machine, Monitoring Energy, Monitoring Stock , Water Cooling System.",PT. Kyoritsu Electric Indonesia,Admin,021-29093182,,Cikarang,,
,Dist. Kyoritsu,PT. Kyoritsu Electric Indonesia,Nuryadi,0822-1320-5466,,Cikarang,,
,Mesin Sensor,PT. Keyence,,021-2966-0102,,Jakarta,,
,"Dist. Lakoni, WD-40 ",PT. Perkakas Sumber Karya,admin SBY,0811-8069-130,,Surabaya,,
,Ventilator dan sparepart,PT. Wilbert Perkasa Teknik,P. Satrio ,0896-1188-9918,,Surabaya,,
,Mata Gerinda / grinda merk PRIX,PT. Elang Perkasa Indojaya,P. Awang,0822-3430-5850,,Surabaya,,
Tools,"Dist. Lakoni, WD-40 ",PT. Perkakas Sumber Karya,Priscilla,0853-1000-5606,,Surabaya,,
,"Valve, Pneumatic, Solenoid, Air cylinder",Pamy pneumatic,Admin  ,0878-6695-3777,,Surabaya,,
Lisensi Software,AI sistem keuangan,Xtremax,P. Dian,0815-8100-180,,Bandung,,
Kelistrikan,Dist. HIOKI,PT. HIOKI Electric Indonesia,P. Ardanto,0812-4901-5315,,jakarta,,
,Hydraulic merk Enerpac,PT/ Ekatama Putra perkasa,,021-4514678,,jakarta,,
,"Hydraulic , pump, cylinder",PT. Gratari Kencana Abadi,P. Suhendro,0811-9223-689,,Tangerang,,
,"Pneumatic , air cylinder",PT. Sarana Mentari Cemerlang,,0812-4986-4173,,Surabaya,,
,Dist SKF bearing ,PT. Pancaputra Satriawibawa,P. Handika,0822-3100-8487,,Surabaya,,
,Glass fiber,PT. Nitigura Indonesia,B. Shafira,0852-1824-2272,,Cikarang,,
Baut,Perbautan,Sentral Fastindo,Admin,081335120744,,Surabaya,,
Baut,Perbautan,Wahana Sentra Niaga,Admin,082257732704,,Surabaya,,
Baut,Perbautan,Toko Rama,Admin,082132345689,,Surabaya,,
,Custom Balon Gate Run Color,Anugrah Balon,Admin,085716665458,,Bogor,,
Lisensi Software,Sketchup,Solusi Online,,087784219866,,,,
APD,"Sarung tangan, helm, rompi
Onebiz, Kleenguard",Onebiz,,081283437779,,,,
,Dist. CRC,Global Ladju Daya,,08170790908,,,,
